Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Surcharge,Total Cost
2502,CA-2017-131618,delivered,1/28/2018,2/19/2018,03-01-2018,First Class,VEN05,LS-17200,#N/A,#N/A,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.304,4,0.8,-3.5712,0.1,6.46272
6252,CA-2014-101147,delivered,6/22/2018,07-02-2018,08-01-2018,First Class,VEN05,MC-17575,#N/A,#N/A,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,2.394,1,0.8,-6.3441,0.1,9.61191
9753,US-2016-158680,delivered,4/30/2018,05-07-2018,5/23/2018,First Class,VEN03,NZ-18565,Home Office,California,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,2.496,1,0.2,0.9048,0.1,1.75032
1449,US-2014-112564,delivered,7/16/2018,7/24/2018,08-07-2018,First Class,VEN01,TS-21160,#N/A,#N/A,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,2.502,3,0.7,-1.7514,0.1,4.67874
2050,CA-2015-142237,delivered,4/25/2018,5/14/2018,5/24/2018,First Class,VEN03,CK-12595,Consumer,Ohio,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,2.502,3,0.7,-2.0016,0.1,4.95396
203,CA-2014-133690,delivered,1/27/2017,02-10-2017,03-09-2017,First Class,VEN05,BS-11755,Consumer,Colorado,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925,0.1,2.53825
565,CA-2015-130736,delivered,4/21/2018,05-07-2018,5/28/2018,First Class,VEN05,JF-15490,Consumer,Washington,OFF-LA-10000634,Office Supplies,Labels,Avery 509,2.61,1,0,1.2006,0.1,1.55034
389,CA-2014-115973,delivered,4/15/2018,4/25/2018,05-09-2018,First Class,VEN02,NG-18430,Consumer,Ohio,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264,0.1,2.41736
1035,CA-2016-109820,delivered,07-08-2017,7/24/2017,08-01-2017,First Class,VEN02,AG-10390,#N/A,#N/A,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,2.628,2,0.7,-1.9272,0.1,5.01072
3544,CA-2016-157511,delivered,05-10-2018,5/17/2018,06-04-2018,First Class,VEN05,SV-20365,Consumer,Delaware,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",2.672,1,0.2,0.3674,0.1,2.53506
699,CA-2015-119291,delivered,01-08-2018,1/17/2018,02-01-2018,First Class,VEN04,JO-15550,Home Office,Pennsylvania,OFF-AR-10001118,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",2.696,1,0.2,0.8088,0.1,2.07592
2666,CA-2016-164784,delivered,5/23/2018,06-09-2018,6/14/2018,First Class,VEN04,HF-14995,#N/A,#N/A,OFF-BI-10002954,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,2.742,2,0.7,-2.0108,0.1,5.22808
1562,CA-2017-107293,delivered,7/19/2018,7/23/2018,7/31/2018,First Class,VEN03,CS-12400,Home Office,Florida,OFF-AR-10003732,Office Supplies,Art,Newell 333,2.78,1,0,0.7228,0.1,2.26292
7787,US-2016-117037,delivered,05-01-2018,05-10-2018,5/23/2018,First Class,VEN01,LW-17215,#N/A,#N/A,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",2.89,1,0.8,-4.7685,0.1,8.42435
7302,CA-2014-163468,shipped,11/15/2017,1/0/1900,12/27/2017,First Class,VEN04,JK-15730,Consumer,North Carolina,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2.892,3,0.8,-4.9164,0.1,8.58924
8851,CA-2015-140718,delivered,10-04-2017,10/23/2017,10/27/2017,First Class,VEN01,FA-14230,Corporate,California,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2.892,2,0.7,-2.3136,0.1,5.72616
3382,US-2017-162208,delivered,10/15/2017,11-01-2017,10/26/2017,First Class,VEN01,SP-20620,#N/A,#N/A,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,2.896,1,0.2,0.9774,0.1,2.11046
7208,CA-2016-143476,delivered,7/21/2017,08-02-2017,8/14/2017,First Class,VEN05,LC-16930,Corporate,Illinois,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",2.912,2,0.2,0.91,0.1,2.2022
5262,CA-2014-105165,delivered,3/22/2018,04-10-2018,04-04-2018,First Class,VEN03,SZ-20035,#N/A,#N/A,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",2.92,2,0.8,-4.818,0.1,8.5118
1655,US-2017-132444,delivered,07-02-2017,7/18/2017,7/31/2017,First Class,VEN04,CD-12280,#N/A,#N/A,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.96,2,0,1.4208,0.1,1.69312
352,CA-2016-129714,delivered,10/22/2017,10/27/2017,11-10-2017,First Class,VEN03,AB-10060,Home Office,New York,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,3.048,1,0.2,1.0668,0.1,2.17932
4065,US-2014-130358,delivered,9/15/2017,10/20/2017,10-04-2017,First Class,VEN03,DL-13330,#N/A,#N/A,OFF-SU-10002522,Office Supplies,Supplies,Acme Kleen Earth Office Shears,3.104,1,0.2,0.3492,0.1,3.03028
9870,CA-2014-114195,delivered,7/18/2017,08-09-2017,8/21/2017,First Class,VEN03,EA-14035,Corporate,North Carolina,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,3.132,2,0.7,-2.61,0.1,6.3162
1648,CA-2015-105221,delivered,01-10-2018,1/16/2018,02-06-2018,First Class,VEN01,VM-21685,Home Office,New Jersey,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.168,2,0.2,-0.7128,0.1,4.26888
1944,CA-2017-144064,delivered,01-04-2018,01-09-2018,1/22/2018,First Class,VEN03,CP-12085,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.24,9,0.8,-5.184,0.1,9.2664
9410,US-2017-110149,delivered,6/28/2018,07-12-2018,08-02-2018,First Class,VEN02,WB-21850,#N/A,#N/A,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,3.273,1,0.7,-2.5093,0.1,6.36053
979,CA-2016-145499,delivered,05-07-2018,5/15/2018,06-05-2018,First Class,VEN05,RW-19690,#N/A,#N/A,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,0.7,-2.6256,0.1,6.49836
5174,CA-2015-107741,delivered,03-10-2018,3/29/2018,04-12-2018,First Class,VEN05,FC-14335,#N/A,#N/A,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.408,1,0.2,0.8946,0.1,2.76474
3459,CA-2017-136448,delivered,03-08-2018,4/16/2018,3/26/2018,First Class,VEN01,AS-10090,#N/A,#N/A,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,3.444,2,0.7,-2.7552,0.1,6.81912
1726,CA-2015-127453,delivered,7/25/2018,7/30/2018,08-10-2018,First Class,VEN04,JK-15370,Consumer,California,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,2,0.2,0.444,0.1,3.4188
6683,CA-2017-154466,delivered,2/22/2018,03-02-2018,3/15/2018,First Class,VEN03,DP-13390,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.6,2,0,1.728,0.1,2.0592
3194,CA-2014-165428,delivered,03-08-2018,3/26/2018,04-05-2018,First Class,VEN05,JL-15130,#N/A,#N/A,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,3,0.8,-6.0192,0.1,10.63392
1465,US-2016-104794,delivered,4/16/2018,4/24/2018,5/15/2018,First Class,VEN01,KD-16495,#N/A,#N/A,OFF-FA-10001754,Office Supplies,Fasteners,Stockwell Gold Paper Clips,3.68,2,0,1.8032,0.1,2.06448
4283,CA-2014-103100,delivered,1/30/2018,2/21/2018,3/13/2018,First Class,VEN03,AB-10105,#N/A,#N/A,OFF-LA-10003720,Office Supplies,Labels,Avery 487,3.69,1,0,1.7343,0.1,2.15127
5274,US-2016-158309,delivered,01-06-2018,1/26/2018,02-09-2018,First Class,VEN03,PA-19060,Home Office,Illinois,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,3.744,4,0.7,-2.6208,0.1,7.00128
6459,US-2017-133361,delivered,12-09-2017,12/20/2017,01-08-2018,First Class,VEN02,AJ-10780,Corporate,Virginia,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",3.76,2,0,1.0904,0.1,2.93656
3124,CA-2015-121720,delivered,03-03-2018,3/14/2018,3/26/2018,First Class,VEN01,JE-15610,#N/A,#N/A,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,3.768,2,0.7,-3.14,0.1,7.5988
4838,CA-2017-106831,delivered,11/27/2017,12-09-2017,12/20/2017,First Class,VEN04,FH-14350,#N/A,#N/A,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3.798,2,0.7,-2.6586,0.1,7.10226
6810,CA-2017-156237,delivered,6/13/2017,6/27/2017,7/18/2017,First Class,VEN05,PS-18760,#N/A,#N/A,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,3.882,2,0.7,-2.588,0.1,7.117
5268,CA-2017-147452,delivered,3/17/2018,3/26/2018,4/13/2018,First Class,VEN03,CS-11845,#N/A,#N/A,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",3.89,1,0,1.0114,0.1,3.16646
6403,CA-2017-125472,delivered,4/13/2018,5/15/2018,5/16/2018,First Class,VEN03,BD-11725,Consumer,Kentucky,OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels,3.89,1,0,1.8672,0.1,2.22508
564,CA-2015-130736,delivered,4/21/2018,05-07-2018,5/28/2018,First Class,VEN05,JF-15490,Consumer,Washington,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2,0,0,0.1,4.356
3566,CA-2016-130029,delivered,11-06-2017,11/16/2017,12-01-2017,First Class,VEN05,GT-14755,Consumer,Texas,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.96,2,0,0.0792,0.1,4.26888
2688,US-2016-128195,delivered,07-12-2017,7/17/2017,7/27/2017,First Class,VEN03,RA-19285,Consumer,New York,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,3.98,5,0.8,-6.567,0.1,11.6017
2664,CA-2016-164784,delivered,5/23/2018,06-09-2018,6/14/2018,First Class,VEN03,HF-14995,#N/A,#N/A,OFF-LA-10001569,Office Supplies,Labels,Avery 499,3.984,1,0.2,1.2948,0.1,2.95812
3235,CA-2016-138933,delivered,04-09-2018,04-11-2018,4/25/2018,First Class,VEN01,JL-15130,#N/A,#N/A,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,3.984,1,0.2,1.3944,0.1,2.84856
5299,CA-2016-106656,delivered,12-03-2017,12/13/2017,01-05-2018,First Class,VEN05,DV-13045,Corporate,California,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,4.08,2,0,1.9176,0.1,2.37864
8942,CA-2016-159023,delivered,09-07-2017,09-12-2017,9/21/2017,First Class,VEN03,NW-18400,#N/A,#N/A,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,4.158,7,0.7,-3.465,0.1,8.3853
6387,US-2017-104661,delivered,2/22/2018,04-02-2018,3/20/2018,First Class,VEN03,TB-21250,#N/A,#N/A,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,4.276,1,0.8,-6.6278,0.1,11.99418
781,CA-2015-144267,delivered,04-11-2018,4/18/2018,4/30/2018,First Class,VEN04,NZ-18565,Home Office,California,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,4.28,1,0,1.926,0.1,2.5894
4947,CA-2016-151372,delivered,08-10-2017,8/17/2017,09-01-2017,First Class,VEN01,JH-15985,Consumer,Michigan,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0,1.7876,0.1,2.82964
8428,CA-2017-167017,delivered,10-10-2017,10/20/2017,11-10-2017,First Class,VEN05,DC-12850,#N/A,#N/A,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744,0.1,4.60416
9729,CA-2017-167395,processing,3/30/2017,1/0/1900,8/22/2017,First Class,VEN01,KM-16720,Consumer,California,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744,0.1,4.60416
1008,CA-2015-105312,delivered,2/19/2018,2/27/2018,3/19/2018,First Class,VEN04,MT-17815,#N/A,#N/A,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,4.401,3,0.7,-3.5208,0.1,8.71398
9498,CA-2017-118213,delivered,3/16/2018,3/23/2018,3/28/2018,First Class,VEN04,AB-10060,Home Office,New York,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41,1,0,2.0286,0.1,2.61954
3792,CA-2015-111325,delivered,1/22/2018,1/29/2018,2/20/2018,First Class,VEN05,BT-11395,#N/A,#N/A,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.419,3,0.7,-3.3879,0.1,8.58759
5293,CA-2017-151218,delivered,6/24/2017,07-05-2017,7/18/2017,First Class,VEN03,PJ-19015,Consumer,California,OFF-ST-10004835,Office Supplies,Storage,Plastic Stacking Crates & Casters,4.464,1,0.2,0.3348,0.1,4.54212
892,CA-2017-133256,delivered,04-05-2018,4/27/2018,05-08-2018,First Class,VEN05,TH-21550,Home Office,Michigan,OFF-PA-10001622,Office Supplies,Paper,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",4.54,1,0,2.043,0.1,2.7467
7648,CA-2016-138968,delivered,12/24/2017,01-10-2018,1/30/2018,First Class,VEN01,FC-14335,#N/A,#N/A,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,4.544,2,0.2,1.6472,0.1,3.18648
8036,CA-2015-119690,delivered,8/28/2017,09-08-2017,9/25/2017,First Class,VEN01,MV-17485,#N/A,#N/A,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,4.608,2,0.2,1.6704,0.1,3.23136
9336,CA-2017-110198,delivered,04-11-2018,05-02-2018,5/18/2018,First Class,VEN02,AG-10900,Consumer,Arizona,OFF-LA-10004409,Office Supplies,Labels,Avery 492,4.608,2,0.2,1.4976,0.1,3.42144
3224,CA-2014-108189,delivered,01-08-2018,1/22/2018,02-06-2018,First Class,VEN05,ES-14080,Corporate,Arizona,OFF-FA-10000735,Office Supplies,Fasteners,Staples,4.672,2,0.2,1.46,0.1,3.5332
8590,CA-2017-145338,delivered,6/21/2018,6/25/2018,07-04-2018,First Class,VEN05,BD-11770,#N/A,#N/A,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.768,2,0.2,0.4768,0.1,4.72032
7811,CA-2016-134334,delivered,2/26/2018,03-01-2018,03-12-2018,First Class,VEN01,DK-13090,Consumer,Virginia,OFF-PA-10000791,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",4.77,1,0,2.1465,0.1,2.88585
8755,CA-2017-152198,delivered,7/31/2018,8/15/2018,8/30/2018,First Class,VEN04,JD-16015,#N/A,#N/A,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,4.86,3,0.7,-3.564,0.1,9.2664
309,CA-2017-126774,delivered,2/16/2018,2/27/2018,3/15/2018,First Class,VEN05,SH-20395,Consumer,Virginia,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,0,2.0049,0.1,3.17361
701,CA-2015-119291,delivered,01-08-2018,1/17/2018,02-01-2018,First Class,VEN05,JO-15550,Home Office,Pennsylvania,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,4.896,3,0.7,-3.4272,0.1,9.15552
6377,CA-2016-163216,delivered,03-09-2017,3/16/2017,04-06-2017,First Class,VEN05,AW-10930,#N/A,#N/A,OFF-LA-10000134,Office Supplies,Labels,Avery 511,4.928,2,0.2,1.7248,0.1,3.52352
1419,CA-2015-126697,delivered,06-12-2018,6/15/2018,6/28/2018,First Class,VEN04,SV-20815,#N/A,#N/A,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,4.928,4,0.6,-1.4784,0.1,7.04704
6873,CA-2015-162544,delivered,11/29/2017,12-09-2017,1/15/2018,First Class,VEN02,SG-20080,Consumer,Missouri,OFF-PA-10004948,Office Supplies,Paper,Xerox 190,4.98,1,0,2.3406,0.1,2.90334
8372,CA-2014-165393,delivered,11/24/2017,12/20/2017,12/27/2017,First Class,VEN05,NC-18415,#N/A,#N/A,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,4.984,1,0.8,-8.4728,0.1,14.80248
6165,CA-2014-103989,delivered,2/19/2018,03-02-2018,3/19/2018,First Class,VEN01,MC-17605,Corporate,Michigan,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,4.992,3,0.2,1.3728,0.1,3.98112
1903,CA-2017-167094,delivered,3/25/2018,4/20/2018,4/25/2018,First Class,VEN01,DK-12835,#N/A,#N/A,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,5.184,1,0.2,1.8144,0.1,3.70656
3930,CA-2016-162082,delivered,6/27/2018,6/29/2018,07-12-2018,First Class,VEN01,JS-15880,#N/A,#N/A,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,5.184,1,0.2,1.8792,0.1,3.63528
7697,CA-2017-107958,delivered,09-05-2017,9/13/2017,9/27/2017,First Class,VEN01,AH-10120,#N/A,#N/A,OFF-BI-10001787,Office Supplies,Binders,Wilson Jones Four-Pocket Poly Binders,5.232,4,0.8,-8.1096,0.1,14.67576
2690,CA-2014-123064,delivered,05-06-2017,5/16/2017,5/31/2017,First Class,VEN03,RA-19915,Consumer,Colorado,OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters,5.248,4,0.2,1.64,0.1,3.9688
2119,CA-2017-155460,delivered,1/20/2018,2/22/2018,2/22/2018,First Class,VEN04,RW-19630,#N/A,#N/A,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.28,1,0,2.376,0.1,3.1944
273,CA-2015-155334,delivered,12-10-2017,12/27/2017,1/16/2018,First Class,VEN04,HA-14920,Consumer,California,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,5.28,3,0,2.3232,0.1,3.25248
6597,CA-2017-157112,delivered,10/22/2017,11-07-2017,11/22/2017,First Class,VEN03,GG-14650,Corporate,Tennessee,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,5.344,1,0.2,1.8704,0.1,3.82096
3542,CA-2016-157511,delivered,05-10-2018,5/17/2018,06-04-2018,First Class,VEN02,SV-20365,Consumer,Delaware,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,5.352,3,0.2,1.6056,0.1,4.12104
7297,CA-2014-111899,delivered,11/24/2017,12-12-2017,12/27/2017,First Class,VEN02,NC-18340,#N/A,#N/A,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,5.472,6,0.2,1.8468,0.1,3.98772
220,CA-2015-169397,delivered,4/27/2017,05-09-2017,06-08-2017,First Class,VEN01,JB-15925,Consumer,Ohio,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148,0.1,4.14612
9345,CA-2017-109085,delivered,9/17/2017,10-10-2017,10/17/2017,First Class,VEN05,CK-12325,Home Office,Utah,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.715,5,0.7,-4.7625,0.1,11.52525
7116,US-2016-102239,unavailable,6/29/2017,1/0/1900,07-12-2017,First Class,VEN01,LW-16990,#N/A,#N/A,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,5.728,2,0.2,2.0048,0.1,4.09552
4551,US-2017-107636,delivered,6/29/2018,07-04-2018,08-06-2018,First Class,VEN05,NM-18520,#N/A,#N/A,OFF-LA-10003388,Office Supplies,Labels,Avery 5,5.76,2,0,2.8224,0.1,3.23136
7340,CA-2015-159590,delivered,05-05-2018,06-07-2018,06-07-2018,First Class,VEN04,KC-16255,#N/A,#N/A,OFF-AR-10003190,Office Supplies,Art,Newell 32,5.76,2,0,1.6128,0.1,4.56192
7614,US-2015-130491,delivered,3/27/2017,04-10-2017,4/27/2017,First Class,VEN04,BH-11710,Consumer,California,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",5.76,2,0,1.728,0.1,4.4352
7613,US-2015-130491,delivered,3/27/2017,04-10-2017,4/27/2017,First Class,VEN05,BH-11710,Consumer,California,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",5.81,1,0,1.8011,0.1,4.40979
6981,CA-2014-146990,delivered,06-11-2018,6/13/2018,6/20/2018,First Class,VEN05,BP-11095,Corporate,Illinois,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,5.92,4,0,2.8416,0.1,3.38624
2918,CA-2017-155047,delivered,04-12-2018,4/20/2018,05-07-2018,First Class,VEN01,SE-20110,#N/A,#N/A,OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",5.952,1,0.2,0.372,0.1,6.138
161,CA-2016-162733,delivered,11-09-2017,11/16/2017,11/29/2017,First Class,VEN05,TT-21070,Consumer,California,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691,0.1,3.6179
276,CA-2017-118136,delivered,7/24/2017,7/28/2017,8/15/2017,First Class,VEN01,BB-10990,Corporate,Arizona,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98,1,0,1.5548,0.1,4.86772
9564,CA-2016-129280,delivered,7/18/2017,7/31/2017,8/22/2017,First Class,VEN02,SM-20905,#N/A,#N/A,OFF-LA-10000081,Office Supplies,Labels,Avery 496,6,2,0.2,2.1,0.1,4.29
